,files
0,"['goal', 'poverty', 'world', 'population', 'live', 'extreme', 'poverty', 'struggling', 'fulfil', 'basic', 'need', 'like', 'health', 'education', 'access', 'water', 'sanitation', 'majority', 'living', 'live', 'saharan', 'africa', 'worldwide', 'poverty', 'rate', 'rural', 'area', 'time', 'higher', 'urban', 'area', 'having', 'guarantee', 'decent', 'living', 'fact', 'employed', 'worker', 'family', 'worldwide', 'lived', 'extreme', 'poverty', 'poverty', 'affect', 'child', 'child', 'live', 'extreme', 'poverty', 'ensuring', 'social', 'protection', 'child', 'vulnerable', 'group', 'critical', 'reduce', 'poverty', 'world_population', 'extreme_poverty', 'water_sanitation', 'saharan_africa', 'rural_area', 'time_higher', 'urban_area', 'lived_extreme', 'extreme_poverty', 'social_protection']"
1,"['growing', 'inequality', 'detrimental', 'economic', 'growth', 'undermines', 'social', 'cohesion', 'increasing', 'political', 'social', 'tension', 'circumstance', 'driving', 'instability', 'conflict', 'world', 'population', 'live', 'extreme', 'poverty', 'surviving', 'having', 'guarantee', 'decent', 'living', 'fact', 'employed', 'worker', 'family', 'worldwide', 'lived', 'extreme', 'poverty', 'globally', 'woman', 'aged', 'living', 'extreme', 'poverty', 'group', 'majority', 'living', 'live', 'saharan', 'africa', 'poverty', 'rate', 'fragile', 'conflict', 'affected', 'country', 'poverty', 'affect', 'child', 'economic_growth', 'world_population', 'extreme_poverty', 'lived_extreme', 'woman_aged', 'living_extreme', 'saharan_africa']"
2,"['world', 'population', 'access', 'social', 'protection', 'woman', 'giving', 'received', 'maternity', 'benefit', 'eradicate', 'extreme', 'poverty', 'currently', 'measured', 'living', 'reduce', 'proportion', 'woman', 'child', 'living', 'poverty', 'dimension', 'according', 'national', 'definition', 'implement', 'nationally', 'appropriate', 'social', 'protection', 'measure', 'including', 'floor', 'achieve', 'substantial', 'coverage', 'poor', 'vulnerable', 'ensure', 'woman', 'particular', 'poor', 'vulnerable', 'equal', 'right', 'economic', 'resource', 'access', 'basic', 'service', 'ownership', 'control', 'land', 'property', 'inheritance', 'natural', 'resource', 'appropriate', 'technology', 'financial', 'service', 'including', 'microfinance', 'world_population', 'social_protection', 'maternity_benefit', 'extreme_poverty', 'poverty_dimension', 'nationally_appropriate', 'social_protection', 'poor_vulnerable', 'poor_vulnerable', 'equal_right', 'basic_service', 'natural_resource', 'financial_service']"
3,"['ensure', 'significant', 'mobilization', 'resource', 'variety', 'source', 'including', 'enhanced', 'development', 'cooperation', 'order', 'provide', 'adequate', 'predictable', 'mean', 'developing', 'country', 'particular', 'developed', 'country', 'implement', 'programme', 'policy', 'poverty', 'dimension', 'create', 'sound', 'policy', 'framework', 'national', 'regional', 'international', 'level', 'based', 'poor', 'gender', 'sensitive', 'development', 'strategy', 'support', 'accelerated', 'investment', 'poverty', 'eradication', 'action', 'whats', 'goal', 'poverty', 'world', 'population', 'live', 'extreme', 'poverty', 'struggling', 'fulfil', 'basic', 'need', 'like', 'health', 'education', 'access', 'water', 'sanitation', 'majority', 'living', 'including_enhanced', 'provide_adequate', 'developing_country', 'particular_developed', 'poverty_dimension', 'national_regional', 'whats_goal', 'world_population', 'extreme_poverty', 'water_sanitation']"
4,"['worldwide', 'poverty', 'rate', 'rural', 'area', 'centmore', 'time', 'higher', 'urban', 'area', 'having', 'guarantee', 'decent', 'living', 'fact', 'employed', 'worker', 'family', 'worldwide', 'lived', 'extreme', 'poverty', 'poverty', 'affect', 'child', 'child', 'live', 'extreme', 'poverty', 'ensuring', 'social', 'protection', 'child', 'vulnerable', 'group', 'critical', 'reduce', 'poverty', 'world', 'population', 'access', 'social', 'protection', 'poverty', 'matter', 'poverty', 'world', 'poverty', 'dimension', 'cause', 'include', 'unemployment', 'social', 'exclusion', 'vulnerability', 'certain', 'population', 'disaster', 'disease', 'phenomenon', 'prevent', 'productive', 'rural_area', 'time_higher', 'urban_area', 'lived_extreme', 'extreme_poverty', 'social_protection', 'world_population', 'social_protection', 'poverty_dimension']"
5,"['care', 'economic', 'situation', 'reason', 'short', 'human', 'wellbeing', 'linked', 'growing', 'inequality', 'detrimental', 'economic', 'growth', 'undermines', 'social', 'cohesion', 'increasing', 'political', 'social', 'tension', 'circumstance', 'driving', 'instability', 'conflict', 'actually', 'achieve', 'goal', 'extreme', 'poverty', 'worldwide', 'economist', 'jeffrey', 'sachs', 'calculated', 'cost', 'represents', 'percent', 'combined', 'income', 'richest', 'country', 'world', 'active', 'engagement', 'policymaking', 'difference', 'addressing', 'poverty', 'ensures', 'right', 'promoted', 'voice', 'heard', 'inter', 'generational', 'knowledge', 'shared', 'innovation', 'critical', 'thinking', 'encouraged', 'support', 'change', 'life', 'community', 'economic_growth', 'extreme_poverty']"
6,"['formulate', 'strategy', 'fiscal', 'policy', 'stimulate', 'poor', 'growth', 'reduce', 'poverty', 'private', 'sector', 'engine', 'economic', 'growth', 'major', 'role', 'play', 'determining', 'growth', 'creates', 'inclusive', 'contributes', 'poverty', 'reduction', 'promote', 'economic', 'opportunity', 'poor', 'focusing', 'segment', 'economy', 'poor', 'active', 'micro', 'enterprise', 'operating', 'informal', 'sector', 'academic', 'education', 'community', 'major', 'role', 'increasing', 'awareness', 'impact', 'poverty', 'science', 'provides', 'foundation', 'sustainable', 'approach', 'solution', 'technology', 'tackle', 'challenge', 'reducing', 'poverty', 'achieving', 'sustainable', 'development', 'contribution', 'science', 'poverty', 'significant', 'example', 'enabled', 'access', 'safe', 'drinking', 'water', 'reduced', 'death', 'caused', 'water', 'borne', 'disease', 'improved', 'hygiene', 'reduce', 'health', 'risk', 'related', 'unsafe', 'drinking', 'water', 'lack', 'sanitation', 'economic_growth', 'poverty_reduction', 'sustainable_development', 'access_safe', 'drinking_water', 'water_borne', 'drinking_water']"
7,"['deceleration', 'indicates', 'world', 'track', 'achieve', 'target', 'world', 'living', 'extreme', 'poverty', 'continue', 'live', 'extreme', 'poverty', 'face', 'deep', 'entrenched', 'deprivation', 'exacerbated', 'violent', 'conflict', 'vulnerability', 'disaster', 'strong', 'social', 'protection', 'government', 'spending', 'service', 'help', 'left', 'foot', 'escape', 'poverty', 'service', 'need', 'brought', 'scale', 'world', 'population', 'living', 'extreme', 'poverty', 'declined', 'pace', 'poverty', 'reduction', 'decelerating', 'nowcast', 'baseline', 'projection', 'suggest', 'world', 'population', 'living', 'extreme', 'poverty', 'missing', 'target', 'ending', 'poverty', 'living_extreme', 'extreme_poverty', 'vulnerability_disaster', 'social_protection', 'government_spending', 'world_population', 'living_extreme', 'poverty_reduction', 'world_population', 'living_extreme', 'ending_poverty']"
8,"['situation', 'remains', 'particularly', 'alarming', 'saharan', 'africa', 'working', 'poor', 'stood', 'social', 'protection', 'help', 'prevent', 'reduce', 'poverty', 'provide', 'safety', 'vulnerable', 'social', 'protection', 'reality', 'large', 'majority', 'world', 'population', 'covered', 'social', 'protection', 'benefit', 'large', 'variation', 'region', 'coverage', 'saharan', 'africa', 'europe', 'northern', 'america', 'unemployed', 'receive', 'unemployment', 'benefit', 'severe', 'disability', 'receive', 'disability', 'benefit', 'child', 'worldwide', 'enjoy', 'effective', 'access', 'social', 'protection', 'woman', 'giving', 'receive', 'maternity', 'benefit', 'saharan_africa', 'working_poor', 'social_protection', 'social_protection', 'world_population', 'social_protection', 'saharan_africa', 'europe_northern', 'social_protection', 'maternity_benefit']"
9,"['direct', 'economic', 'loss', 'disaster', 'estimated', 'trillion', 'climate', 'related', 'disaster', 'accounted', 'rise', 'compared', 'period', 'climate', 'related', 'geophysical', 'disaster', 'claimed', 'estimated', 'life', 'death', 'reported', 'internationally', 'disaster', 'event', 'middle', 'income', 'country', 'economic', 'loss', 'disaster', 'percentage', 'gross', 'domestic', 'product', 'higher', 'country', 'country', 'reported', 'progress', 'development', 'implementation', 'national', 'local', 'disaster', 'risk', 'reduction', 'strategy', 'sendai', 'framework', 'disaster', 'risk', 'reduction', 'march', 'country', 'reported', 'progress', 'alignment', 'country', 'reported', 'respective', 'local', 'government', 'developed', 'local', 'strategy', 'consistent', 'national', 'strategy', 'plan', 'direct_economic', 'estimated_trillion', 'climate_related', 'climate_related', 'middle_income', 'economic_loss', 'gross_domestic', 'national_local', 'disaster_risk', 'reduction_strategy', 'sendai_framework', 'disaster_risk', 'local_government']"
10,"['extreme', 'poverty', 'eased', 'considerably', 'pocket', 'worst', 'poverty', 'persist', 'ending', 'poverty', 'requires', 'universal', 'social', 'protection', 'aimed', 'safeguarding', 'individual', 'life', 'cycle', 'requires', 'targeted', 'measure', 'reduce', 'vulnerability', 'disaster', 'address', 'specific', 'underserved', 'geographic', 'area', 'country', 'rate', 'extreme', 'poverty', 'fallen', 'rapidly', 'value', 'latest', 'global', 'estimate', 'suggests', 'world', 'population', 'lived', 'extreme', 'poverty', 'threshold', 'proportion', 'world', 'worker', 'living', 'family', 'declined', 'significantly', 'past', 'decade', 'falling', 'based', 'estimate', 'world', 'population', 'effectively', 'covered', 'social', 'protection', 'benefit', 'extreme_poverty', 'ending_poverty', 'social_protection', 'life_cycle', 'vulnerability_disaster', 'extreme_poverty', 'world_population', 'lived_extreme', 'worker_living', 'past_decade', 'world_population', 'social_protection']"
11,"['highest', 'loss', 'recent', 'owing', 'major', 'hurricane', 'affecting', 'united', 'state', 'america', 'country', 'caribbean', 'despite', 'fact', 'global', 'poverty', 'rate', 'halved', 'intensified', 'effort', 'required', 'boost', 'income', 'alleviate', 'suffering', 'build', 'resilience', 'individual', 'living', 'extreme', 'poverty', 'particular', 'saharan', 'africa', 'social', 'protection', 'need', 'expanded', 'risk', 'need', 'mitigated', 'disaster', 'prone', 'country', 'tend', 'impoverished', 'estimated', 'lived', 'international', 'poverty', 'figure', 'reflects', 'decrease', 'global', 'poverty', 'rate', 'united_state', 'build_resilience', 'living_extreme', 'saharan_africa', 'social_protection']"
12,"['contrast', 'saharan', 'africa', 'continued', 'subsist', 'condition', 'extreme', 'poverty', 'world', 'worker', 'living', 'family', 'developed', 'country', 'nearly', 'worker', 'living', 'poverty', 'social', 'protection', 'fundamental', 'preventing', 'reducing', 'poverty', 'inequality', 'stage', 'life', 'benefit', 'child', 'mother', 'newborn', 'disability', 'older', 'poor', 'preliminary', 'world', 'population', 'effectively', 'protected', 'social', 'protection', 'coverage', 'varied', 'widely', 'country', 'region', 'saharan_africa', 'extreme_poverty', 'worker_living', 'developed_country', 'worker_living', 'social_protection', 'world_population', 'social_protection']"
13,"['global', 'mask', 'large', 'regional', 'difference', 'oceania', 'excluding', 'australia', 'zealand', 'saharan', 'africa', 'respectively', 'retirement', 'received', 'pension', 'vulnerable', 'group', 'lack', 'social', 'protection', 'severe', 'disability', 'collected', 'disability', 'benefit', 'unemployed', 'individual', 'worldwide', 'received', 'unemployment', 'benefit', 'woman', 'giving', 'received', 'maternity', 'benefit', 'building', 'resilience', 'poor', 'strengthening', 'disaster', 'risk', 'reduction', 'core', 'development', 'strategy', 'ending', 'extreme', 'poverty', 'afflicted', 'country', 'economic', 'loss', 'disaster', 'reaching', 'disaster', 'risk', 'globally', 'highly', 'concentrated', 'middle', 'income', 'country', 'oceania_excluding', 'australia_zealand', 'saharan_africa', 'social_protection', 'maternity_benefit', 'disaster_risk', 'extreme_poverty', 'economic_loss', 'disaster_risk', 'middle_income']"
14,"['goal', 'poverty', 'manifestation', 'ensure', 'social', 'protection', 'poor', 'vulnerable', 'increase', 'access', 'basic', 'service', 'support', 'harmed', 'climate', 'related', 'extreme', 'event', 'economic', 'social', 'environmental', 'shock', 'disaster', 'international', 'poverty', 'currently', 'defined', 'united', 'state', 'dollar', 'purchasing', 'power', 'parity', 'decade', 'beginning', 'proportion', 'world', 'population', 'living', 'poverty', 'dropped', 'growth', 'rate', 'prevail', 'global', 'extreme', 'poverty', 'rate', 'fall', 'assuming', 'growth', 'benefit', 'income', 'group', 'population', 'equally', 'growth', 'rate', 'longer', 'period', 'prevail', 'global', 'poverty', 'rate', 'social_protection', 'poor_vulnerable', 'basic_service', 'climate_related', 'social_environmental', 'united_state', 'world_population', 'growth_rate', 'extreme_poverty', 'growth_rate']"
15,"['world', 'worker', 'living', 'family', 'young', 'especially', 'working', 'poor', 'employed', 'youth', 'aged', 'considered', 'working', 'poor', 'compared', 'adult', 'expanding', 'social', 'protection', 'programme', 'targeting', 'appropriate', 'scheme', 'poor', 'vulnerable', 'reduce', 'poverty', 'social', 'protection', 'programme', 'include', 'social', 'assistance', 'transfer', 'school', 'feeding', 'targeted', 'food', 'assistance', 'social', 'insurance', 'labour', 'market', 'programme', 'including', 'pension', 'disability', 'pension', 'unemployment', 'insurance', 'skill', 'training', 'wage', 'subsidy', 'social', 'protection', 'expanded', 'globally', 'developing', 'country', 'adopted', 'policy', 'afford', 'protection', 'multiple', 'contingency', 'worker_living', 'working_poor', 'youth_aged', 'working_poor', 'social_protection', 'poor_vulnerable', 'social_protection', 'labour_market', 'social_protection', 'developing_country']"
16,"['retirement', 'received', 'pension', 'according', 'available', 'period', 'country', 'child', 'maternity', 'benefit', 'programme', 'transfer', 'scheme', 'increasing', 'despite', 'progress', 'past', 'decade', 'increasing', 'social', 'protection', 'need', 'remains', 'priority', 'globally', 'child', 'poverty', 'related', 'cause', 'employed', 'woman', 'effectively', 'protected', 'contributory', 'contributory', 'maternity', 'benefit', 'poor', 'remain', 'outside', 'social', 'protection', 'especially', 'income', 'country', 'entire', 'population', 'receive', 'type', 'social', 'protection', 'income', 'country', 'compared', 'upper', 'middle', 'income', 'country', 'coverage', 'particularly', 'acute', 'saharan', 'africa', 'southern', 'asia', 'world', 'poorest', 'live', 'maternity_benefit', 'despite_progress', 'past_decade', 'social_protection', 'maternity_benefit', 'social_protection', 'social_protection', 'middle_income', 'saharan_africa', 'southern_asia']"
17,"['disaster', 'risk', 'reduction', 'essential', 'ending', 'poverty', 'fostering', 'sustainable', 'development', 'disaster', 'risk', 'higher', 'poorer', 'country', 'weaker', 'institution', 'middle', 'income', 'country', 'experiencing', 'rapid', 'economic', 'growth', 'exposure', 'asset', 'natural', 'hazard', 'increasing', 'faster', 'pace', 'risk', 'reducing', 'capacity', 'strengthened', 'leading', 'disaster', 'risk', 'economic', 'loss', 'internationally', 'reported', 'disaster', 'principally', 'large', 'scale', 'disaster', 'grown', 'steadily', 'reaching', 'estimated', 'annual', 'reported', 'damage', 'housing', 'school', 'health', 'care', 'facility', 'agricultural', 'production', 'statistically', 'significant', 'upward', 'trend', 'onwards', 'eradicate', 'extreme', 'poverty', 'currently', 'measured', 'living', 'disaster_risk', 'ending_poverty', 'sustainable_development', 'disaster_risk', 'middle_income', 'economic_growth', 'disaster_risk', 'economic_loss', 'internationally_reported', 'health_care', 'extreme_poverty']"
18,"['reduce', 'proportion', 'woman', 'child', 'living', 'poverty', 'dimension', 'according', 'national', 'definition', 'proportion', 'population', 'living', 'national', 'poverty', 'proportion', 'woman', 'child', 'living', 'poverty', 'dimension', 'according', 'national', 'definition', 'implement', 'nationally', 'appropriate', 'social', 'protection', 'measure', 'including', 'floor', 'achieve', 'substantial', 'coverage', 'poor', 'vulnerable', 'proportion', 'population', 'covered', 'social', 'protection', 'floor', 'distinguishing', 'child', 'unemployed', 'older', 'disability', 'pregnant', 'woman', 'newborn', 'work', 'injury', 'victim', 'poor', 'vulnerable', 'ensure', 'woman', 'particular', 'poor', 'vulnerable', 'equal', 'right', 'economic', 'resource', 'access', 'basic', 'service', 'ownership', 'control', 'land', 'property', 'inheritance', 'natural', 'resource', 'appropriate', 'technology', 'financial', 'service', 'including', 'microfinance', 'poverty_dimension', 'poverty_dimension', 'nationally_appropriate', 'social_protection', 'poor_vulnerable', 'social_protection', 'poor_vulnerable', 'poor_vulnerable', 'equal_right', 'basic_service', 'natural_resource', 'financial_service']"
19,"['proportion', 'adult', 'population', 'secure', 'tenure', 'right', 'land', 'legally', 'recognized', 'documentation', 'perceive', 'right', 'land', 'secure', 'type', 'tenure', 'build', 'resilience', 'poor', 'vulnerable', 'situation', 'reduce', 'exposure', 'vulnerability', 'climate', 'related', 'extreme', 'event', 'economic', 'social', 'environmental', 'shock', 'disaster', 'number', 'death', 'missing', 'affected', 'disaster', 'direct', 'disaster', 'economic', 'loss', 'relation', 'global', 'gross', 'domestic', 'product', 'number', 'country', 'national', 'local', 'disaster', 'risk', 'reduction', 'strategy', 'ensure', 'significant', 'mobilization', 'resource', 'variety', 'source', 'including', 'enhanced', 'development', 'cooperation', 'order', 'provide', 'adequate', 'predictable', 'mean', 'developing', 'country', 'particular', 'developed', 'country', 'implement', 'programme', 'policy', 'poverty', 'dimension', 'build_resilience', 'poor_vulnerable', 'climate_related', 'social_environmental', 'economic_loss', 'gross_domestic', 'national_local', 'disaster_risk', 'reduction_strategy', 'including_enhanced', 'provide_adequate', 'developing_country', 'particular_developed', 'poverty_dimension']"
20,"['proportion', 'government', 'spending', 'essential', 'service', 'education', 'health', 'social', 'protection', 'create', 'sound', 'policy', 'framework', 'national', 'regional', 'international', 'level', 'based', 'poor', 'gender', 'sensitive', 'development', 'strategy', 'support', 'accelerated', 'investment', 'poverty', 'eradication', 'action', 'proportion', 'government', 'recurrent', 'capital', 'spending', 'sector', 'benefit', 'woman', 'poor', 'vulnerable', 'group', 'poverty', 'extreme', 'poverty', 'live', 'target', 'figure', 'international', 'poverty', 'threshold', 'justified', 'highlighting', 'need', 'worst', 'extreme', 'poverty', 'globally', 'target', 'adequate', 'human', 'subsistence', 'basic', 'need', 'government_spending', 'social_protection', 'national_regional', 'poor_vulnerable', 'extreme_poverty', 'extreme_poverty']"
21,"['poverty', 'lack', 'income', 'resource', 'live', 'poverty', 'lack', 'basic', 'service', 'healthcare', 'security', 'education', 'experience', 'hunger', 'social', 'discrimination', 'exclusion', 'decision', 'making', 'process', 'possible', 'alternative', 'metric', 'poverty', 'child', 'majority', 'living', 'extreme', 'poverty', 'estimated', 'child', 'lived', 'figure', 'unreliable', 'huge', 'status', 'child', 'worldwide', 'percent', 'country', 'insufficient', 'determine', 'state', 'impoverished', 'child', 'projection', 'goal', 'percent', 'country', 'child', 'poverty', 'woman', 'face', 'potentially', 'life', 'threatening', 'risk', 'early', 'pregnancy', 'frequent', 'pregnancy', 'lack_basic', 'decision_making', 'living_extreme']"
22,"['citation', 'needed', 'poverty', 'affect', 'group', 'differently', 'devastating', 'effect', 'experienced', 'child', 'affect', 'education', 'health', 'nutrition', 'security', 'impacting', 'emotional', 'spiritual', 'development', 'achieving', 'goal', 'hampered', 'lack', 'economic', 'growth', 'poorest', 'country', 'world', 'growing', 'inequality', 'increasingly', 'fragile', 'statehood', 'impact', 'climate', 'change', 'eradicating', 'poverty', 'task', 'charity', 'justiceand', 'unlocking', 'enormous', 'human', 'potential', 'nearly', 'world', 'population', 'life', 'poverty', 'lack', 'food', 'clean', 'water', 'killing', 'thousand', 'single', 'feed', 'hungry', 'wipe', 'disease', 'world', 'chance', 'prosper', 'live', 'productive', 'rich', 'life', 'economic_growth', 'climate_change', 'world_population']"
