,Topic # 01,Topic # 02,Topic # 03,Topic # 04,Topic # 05,Topic # 06,Topic # 07,Topic # 08,Topic # 09,Topic # 10,Topic # 11,Topic # 12,Topic # 13,Topic # 14,Topic # 15,Topic # 16,Topic # 17,Topic # 18,Topic # 19,Topic # 20,Topic # 21,Topic # 22,Topic # 23,Topic # 24,Topic # 25
0,jet,abstract,research,tree,wheat,boson,patient,forest,powder,mass,image,climate,emission,star,gene,risk,food,petrophysical,network,fault,party,policy,equation,charging,phasor
1,event,available,learning,specie,yield,higgs,disease,redd,recycled,gev,learning,csa,dung,planet,cell,cancer,household,inversion,communication,observer,political,governance,solution,station,prony
2,proton,mirc,study,survival,soil,standard,brain,deforestation,particle,tev,method,change,ghg,galaxy,genome,breast,crop,information,performance,actuator,issue,state,numerical,planning,estimation
3,section,abstraction,user,branch,maize,decay,cognitive,carbon,surface,limit,proposed,smart,urine,mass,protein,insurance,production,seg,proposed,icing,electoral,political,diffusion,placement,algorithm
4,measured,detection,software,seedling,crop,model,clinical,land,pore,search,resolution,agricultural,manure,stellar,genetic,association,market,geophysical,channel,input,representation,public,nonlocal,ev,time
5,cross,recommendation,online,restoration,rice,expected,dementia,degradation,process,atlas,real,development,season,disc,mutation,crc,income,data,algorithm,unknown,woman,article,method,problem,estimate
6,transverse,online,technology,planting,grain,proton,age,local,bed,particle,network,agriculture,livestock,radius,variant,causal,security,gravity,energy,estimation,election,social,option,infrastructure,method
7,quark,work,project,tl,residue,observed,disorder,intervention,manufacturing,cern,world,policy,farm,cloud,al,index,price,model,user,noise,voter,conflict,fractional,vehicle,proposed
8,energy,cost,article,tropical,tillage,search,tau,country,nano,model,segmentation,adaptation,soil,density,transfer,variant,chain,inverted,traffic,lpv,gender,actor,nonlinear,algorithm,recursive
9,atlas,chara,framework,household,water,pair,group,mrv,metallic,lifetime,color,farmer,flux,astronomical,disease,transmission,woman,new,data,proposed,religious,european,problem,grid,signal
10,momentum,slot,springer,baobab,fertilizer,limit,alzheimer,conservation,higher,excluded,super,west,excreta,solar,associated,factor,child,method,mobility,linear,democracy,group,finite,pollution,measurement
11,measurement,harvesting,data,forest,year,production,study,tenure,composition,collision,based,africa,dry,cluster,expression,model,nutrition,synthetic,link,interval,candidate,institution,stochastic,demand,power
12,production,selection,paper,scaling,cropping,branching,treatment,project,virgin,charged,degradation,strategy,efs,dwarf,association,perception,health,multiple,mobile,state,vote,regime,volatility,learning,based
13,collision,learner,design,kenya,based,decaying,mean,initiative,oxidation,confidence,feature,technology,ssa,debris,rice,bmi,farmer,algorithm,simulation,diagnosis,policy,structural,order,driving,emd
14,mass,allocation,organization,farm,quality,signal,participant,village,time,squark,classification,variability,ipcc,temperature,wide,associated,value,joint,node,approach,ideological,game,result,electric,channel
